Code,Sex,BirthDay,BirthMonth,BirthYear,MumCode,BirthWt,DaysFrom1May
ANM03,1,11,6,2003,BAC98,6.580000191,41
ANM04,2,2,6,2004,BAC98,6.180000191,32
ANM06,1,26,5,2006,BAC98,6.860000095,25
ANT00,2,27,5,2000,COQ94,7.380000381,26
APA04,2,2,6,2004,SEQ99,6.28,32
APA05,1,16,6,2005,SEQ99,3.88,46
APA07,2,31,5,2007,SEQ99,6.120000191,30
APA08,1,18,6,2008,SEQ99,7.14,48
APA10,1,4,6,2010,SEQ99,5.579999809,34
APA12,2,26,5,2012,SEQ99,7.295000095,25
APA13,1,16,6,2013,SEQ99,2.479999905,46
APG22,2,3,6,2022,VEC17,6.839999809,33
APH90,2,3,6,1990,THO86,6.860000095,33
APH91,1,27,5,1991,THO86,7.220000191,26
APH93,1,17,6,1993,THO86,7.539999905,47
APH94,1,2,6,1994,THO86,7.91,32
APH95,1,11,6,1995,THO86,6.620000191,41
APH96,1,8,6,1996,THO86,6.399999809,38
APH98,1,31,5,1998,THO86,8.740000381,30
APH99,2,9,7,1999,THO86,8.2,69
APN87,2,29,6,1987,ASP78,5.974999809,59
APN89,1,13,6,1989,ASP78,6.42,43
APO15,1,28,7,2015,CHY12,,88
AQU89,2,4,6,1989,COB80,8.12,34
AQU91,1,3,6,1991,COB80,7.2,33
ARA06,2,1,6,2006,HED01,4.964999905,31
ARA07,1,18,6,2007,HED01,3.925,48
ARA09,1,30,5,2009,HED01,6.254999905,29
ARA10,1,9,6,2010,HED01,3.840000095,39
ARA11,1,7,6,2011,HED01,4.395,37
ARA13,2,28,5,2013,HED01,5.225000191,27
ARA15,1,26,5,2015,HED01,3.140000048,25
ARB04,1,9,6,2004,COF01,4.780000095,39
ARB06,2,5,6,2006,COF01,6.580000191,35
ARB11,1,31,5,2011,COF01,8.824999619,30
ARB13,1,30,5,2013,COF01,6.29,29
ARD02,2,24,6,2002,ALD98,6.38,54
ARD04,2,12,6,2004,ALD98,6.479999905,42
ARE14,1,25,5,2014,PCN10,3.979999905,24
ARE16,2,9,5,2016,PCN10,5.100000095,8
ARE17,1,29,5,2017,PCN10,5.755000191,28
ARI01,1,1,6,2001,ATH87,7.78,31
ARI91,2,25,5,1991,ATH87,7.319999619,24
ARI93,2,2,6,1993,ATH87,7.825000095,32
ARI97,1,7,6,1997,ATH87,8.48,37
ARI99,1,24,5,1999,ATH87,7.14,23
ARN19,2,30,5,2019,GLR16,6.44,29
ART00,2,25,5,2000,ARI96,7.14,24
ART99,2,4,6,1999,ARI96,6.220000191,34
ASB09,1,22,5,2009,HOO05,5.91,21
ASB10,1,2,6,2010,HOO05,5.05,32
ASB12,1,15,5,2012,HOO05,6.064999809,14
ASB13,1,22,5,2013,HOO05,6.260000191,21
ASB14,2,3,6,2014,HOO05,5.810000095,33
ASB15,1,10,6,2015,HOO05,5.019999809,40
ASB16,2,31,5,2016,HOO05,6.130000095,30
ASB18,1,3,6,2018,HOO05,4.650000191,33
ASP76,1,4,6,1976,TOR72,5.739999905,34
ASP77,2,4,6,1977,TOR72,6.28,34
ASP78,1,3,7,1978,TOR72,4.78,63
ASP82,2,19,6,1982,TOR72,5.85,49
ASP83,2,6,6,1983,TOR72,5.220000381,36
AST90,1,1,6,1990,GAL85,6.359999905,31
AST91,2,17,6,1991,GAL85,7.450000095,47
AST93,2,7,6,1993,GAL85,6.039999905,37
AST94,1,4,6,1994,GAL85,6.940000191,34
AST95,2,13,6,1995,GAL85,5.440000191,43
ATH85,2,10,6,1985,THO81,5.100000095,40
ATH87,1,11,6,1987,THO81,6.360000191,41
ATH89,1,2,7,1989,THO81,5.825000095,62
ATH91,2,3,6,1991,THO81,5.82,33
ATH94,2,4,7,1994,THO81,6.98,64
AUK17,2,22,6,2017,ALL13,5.955,52
AUK20,1,26,5,2020,ALL13,6.720000095,25
AUK22,1,4,6,2022,ALL13,6.054999905,34
AUK23,2,4,6,2023,ALL13,5.839999809,34
AUR88,2,27,5,1988,CAN83,7.959999619,26
AVO81,1,5,7,1981,UPT78,6.725000191,65
AVO83,2,8,6,1983,UPT78,5.839999809,38
AVO84,2,15,6,1984,UPT78,8.500000191,45
AVO86,2,6,6,1986,UPT78,7.160000381,36
AVO87,2,13,6,1987,UPT78,6.2,43
AVO88,1,1,6,1988,UPT78,5.259999809,31
AVO90,1,2,6,1990,UPT78,5.42,32
AVO92,2,24,6,1992,UPT78,5.14,54
AYE07,2,13,6,2007,MEE03,6.180000095,43
AYE09,1,26,5,2009,MEE03,7.440000191,25
AYE10,1,15,6,2010,MEE03,5.42,45
AYE12,1,18,5,2012,MEE03,8.039999619,17
AYE15,2,24,5,2015,MEE03,7.050000191,23
AYE16,2,8,7,2016,MEE03,8.580000191,68
AZU05,1,5,6,2005,CRM01,3.659999809,35
AZU07,1,19,5,2007,CRM01,5.680000095,18
AZU08,1,9,6,2008,CRM01,4.339999809,39
AZU09,1,1,6,2009,CRM01,6.310000095,31
AZU10,2,24,5,2010,CRM01,7.339999809,23
AZU13,1,24,5,2013,CRM01,7.319999619,23
BAC03,2,3,6,2003,PTN93,5.325000095,33
BAC97,2,7,6,1997,PTN93,5.539999905,37
BAC98,1,26,5,1998,PTN93,5.620000191,25
BAC99,2,26,7,1999,PTN93,5.019999809,86
BAL15,1,13,6,2015,LUT12,2.450000095,43
BAL17,1,11,6,2017,LUT12,6.540000095,41
BAN93,2,9,6,1993,FRE83,7.979999809,39
BAR75,2,3,6,1975,UPR71,6.959999619,33
BAR76,2,7,6,1976,UPR71,6.925,37
BAR77,2,4,6,1977,UPR71,6.440000191,34
BAR78,2,5,6,1978,UPR71,7.839999809,35
BAR79,1,7,6,1979,UPR71,6.340000095,37
BAR80,1,5,6,1980,UPR71,6.919999905,35
BAR81,2,5,6,1981,UPR71,7.28,35
BAR82,2,10,6,1982,UPR71,7.875000381,40
BAR83,1,14,6,1983,UPR71,6.339999809,44
BAR84,1,28,6,1984,UPR71,6.540000095,58
BAR85,2,13,6,1985,UPR71,7.32,43
BAS19,1,1,6,2019,QTZ14,6.825000095,31
BAS20,2,28,5,2020,QTZ14,8.420000381,27
BAS21,2,28,6,2021,QTZ14,6.94,58
BAU16,2,8,6,2016,MCD12,6.239999905,38
BAU17,2,17,6,2017,MCD12,6.35,47
BAU18,2,23,6,2018,MCD12,5.979999809,53
BAU20,1,16,5,2020,MCD12,6.564999809,15
BAU21,1,29,5,2021,MCD12,7.340000095,28
BAU22,1,31,5,2022,MCD12,5.795000095,30
BAU23,2,15,6,2023,MCD12,6.280000095,45
BBA17,1,1,6,2017,SLA12,5.059999905,31
BBA19,2,3,6,2019,SLA12,,33
BCA14,1,7,6,2014,CBS09,5.220000095,37
BCA16,2,28,5,2016,CBS09,6.119999809,27
BCA17,2,7,6,2017,CBS09,4.365,37
BCA19,2,30,5,2019,CBS09,6.94,29
BCA20,1,31,5,2020,CBS09,5.210000191,30
BCA21,2,30,5,2021,CBS09,4.540000095,29
BCA23,2,23,5,2023,CBS09,,22
BCL84,1,13,9,1984,BUC81,6.239999905,135
BCL86,2,28,5,1986,BUC81,6.159999905,27
BCL87,1,26,6,1987,BUC81,5.320000095,56
BCL88,1,22,7,1988,BUC81,7.380000381,82
BCL89,1,24,6,1989,BUC81,5.040000095,54
BCL90,2,12,6,1990,BUC81,6.914999809,42
BCL91,2,27,6,1991,BUC81,6.250000095,57
BCL93,1,12,7,1993,BUC81,8.019999809,72
BCL94,1,9,6,1994,BUC81,5.82,39
BCL95,1,22,6,1995,BUC81,4.280000095,52
BCL96,1,2,8,1996,BUC81,6.760000191,93
BEA00,1,11,6,2000,MOO96,4.255000191,41
BEA04,1,24,5,2004,MOO96,7.479999809,23
BEA05,1,25,5,2005,MOO96,7.580000191,24
