Code,BirthYear,DeathYear,Sex,MumCode,MotherStatus,AgeWhenDied,FWSurvival,BirthWt
SCT09,2009,2014,1,CRM99,True yeld,5,1,8.46
SDY13,2013,2016,1,RUM09,Naïve,3,1,7.21
SEP86,1986,1989,2,CHO73,True yeld,3,1,6.88
SEQ95,1995,2005,1,SYC91,Naïve,10,1,6.86
SEQ99,1999,2013,1,SYC91,Milk,14,1,6.76
SES89,1989,1996,1,HAR82,Winter yeld,7,1,4.66
SFY06,2006,2012,1,ROM02,Naïve,6,1,4.72
SHI99,1999,1999,2,GRA95,Naïve,0,0,5.99
SHN02,2002,2002,1,HEB98,Naïve,0,0,5.70
SHO16,2016,2023,1,CND12,Naïve,7,1,7.34
SHO17,2017,2022,1,CND12,Milk,5,1,7.33
SKU01,2001,2001,1,FUL86,True yeld,0,0,3.52
SKU91,1991,1991,1,FUL86,Naïve,0,0,5.28
SKU97,1997,2010,2,FUL86,Milk,13,1,6.82
SKU99,1999,1999,1,FUL86,True yeld,0,0,4.42
SLK15,2015,2015,1,RPP11,Summer yeld,0,0,5.42
SLR03,2003,2003,1,FLG98,Naïve,0,0,5.84
SOL98,1998,2000,2,THO84,True yeld,2,1,8.02
SOX07,2007,2011,2,SEQ01,Milk,4,1,6.80
SPI01,2001,2008,2,HAL94,Milk,7,1,7.20
SPI97,1997,2001,1,HAL94,Naïve,4,1,6.48
SPS21,2021,2022,1,SPY18,Naïve,1,1,5.03
SPS22,2022,2022,2,SPY18,Milk,0,0,6.87
SPT18,2018,2022,2,CBS13,Summer yeld,4,1,6.83
SPY13,2013,2017,2,RPP08,Milk,4,1,6.30
SPY14,2014,2019,1,RPP08,Milk,5,1,6.83
SPY18,2018,2022,1,RPP08,Milk,4,1,7.23
SSK04,2004,2004,1,CHF01,Naïve,0,0,5.41
STA95,1995,1995,2,GAL89,Winter yeld,0,0,4.48
STB04,2004,2004,1,OPA99,Naïve,0,0,6.74
STI94,1994,2010,1,AVO89,Summer yeld,16,1,7.67
STI96,1996,2013,1,AVO89,Milk,17,1,7.04
STN10,2010,2010,1,LMS05,Winter yeld,0,0,4.43
STN12,2012,2016,1,LMS05,Summer yeld,4,1,7.93
STN13,2013,2015,1,LMS05,Milk,2,1,6.44
STN14,2014,2015,1,LMS05,Milk,1,1,6.81
STN15,2015,2015,1,LMS05,Milk,0,0,7.15
SUL94,1994,2006,1,TER80,True yeld,12,1,6.44
SUR91,1991,2000,1,THO82,True yeld,9,1,8.02
SWT13,2013,2019,2,FRT06,Milk,6,1,6.52
SYC94,1994,2004,2,PET87,Summer yeld,10,1,5.62
SYC96,1996,2005,2,PET87,Summer yeld,9,1,6.12
TAL77,1977,1986,2,BRO66,Summer yeld,9,1,5.87
TAM93,1993,2003,1,RHY88,Summer yeld,10,1,7.84
TBS10,2010,2015,2,BNS07,Naïve,5,1,6.80
TEL90,1990,1998,1,PEC81,Milk,8,1,7.64
TEM16,2016,2016,2,STN12,Summer yeld,0,0,5.64
TER75,1975,1988,2,TRN72,Naïve,13,1,5.23
THO78,1978,1991,1,YTA74,Milk,13,1,6.70
THO84,1984,2000,1,YTA74,Milk,16,1,7.08
THR80,1980,1989,1,PGB76,Naïve,9,1,7.14
THS98,1998,2006,1,PAP87,True yeld,8,1,
TIC11,2011,2011,2,CLO96,True yeld,0,0,5.04
TIK03,2003,2006,1,HAL95,True yeld,3,1,8.76
TIK06,2006,2006,1,HAL95,Milk,0,0,
TIK98,1998,2002,1,HAL95,Naïve,4,1,6.48
TIN00,2000,2016,1,THU91,True yeld,16,1,6.03
TIN02,2002,2009,1,THU91,True yeld,7,1,6.56
TIN04,2004,2013,1,THU91,True yeld,9,1,6.24
TIN95,1995,2009,1,THU91,Naïve,14,1,5.15
TKN94,1994,2003,1,NAK90,Naïve,9,1,6.08
TKN99,1999,2011,2,NAK90,Milk,12,1,7.44
TNQ14,2014,2020,2,GNB07,True yeld,6,1,7.33
TOO00,2000,2003,2,TUS96,Naïve,3,1,6.82
TOR78,1978,1989,1,TRN69,Milk,11,1,7.16
TRN74,1974,1988,1,TRNRI,Milk,14,1,6.34
TRT00,2000,2006,1,OCH90,True yeld,6,1,8.03
TRT03,2003,2013,1,OCH90,Milk,10,1,6.49
TRT05,2005,2010,1,OCH90,True yeld,5,1,6.42
TRX12,2012,2013,1,TIN04,True yeld,1,1,6.98
TRX13,2013,2013,2,TIN04,Milk,0,0,5.94
TTL04,2004,2013,1,LMS00,Naïve,9,1,5.26
TTL06,2006,2020,2,LMS00,True yeld,14,1,7.83
TTL08,2008,2010,2,LMS00,True yeld,2,1,6.86
TTL09,2009,2017,2,LMS00,Milk,8,1,6.30
TTL14,2014,2015,1,LMS00,True yeld,1,1,5.05
TUR87,1987,1993,1,MUS77,True yeld,6,1,7.24
TUS01,2001,2005,1,JUG91,True yeld,4,1,6.90
TYS85,1985,1996,2,TOR75,Milk,11,1,6.64
UKL08,2008,2016,2,FDL99,True yeld,8,1,7.14
UPR74,1974,1988,1,UPRHI,Milk,14,1,6.28
UPR76,1976,1978,2,UPRHI,Milk,2,1,7.18
USS21,2021,2021,1,MEE05,True yeld,0,0,6.74
VEC19,2019,2019,2,SPY14,True yeld,0,0,5.30
VIN91,1991,1996,1,MUS84,True yeld,5,1,6.92
VIN93,1993,1996,1,MUS84,True yeld,3,1,7.54
VIN97,1997,1998,1,MUS84,True yeld,1,1,7.12
VNS06,2006,2010,1,BUT02,Naïve,4,1,5.32
VNT15,2015,2018,1,SWT11,Naïve,3,1,4.25
WAG07,2007,2007,1,LPW91,Milk,0,0,4.86
WAL03,2003,2016,1,DIC95,Milk,13,1,5.98
WHE77,1977,1989,1,UPR74,Naïve,12,1,1.94
WHE88,1988,1988,1,UPR74,True yeld,0,0,3.78
WHF07,2007,2018,1,WHZ02,Naïve,11,1,6.51
WHI76,1976,1992,1,WHIGR,Summer yeld,16,1,7.23
WHS90,1990,1994,1,BAR79,True yeld,4,1,7.86
WHZ00,2000,2005,1,CGH94,True yeld,5,1,6.71
WIC13,2013,2018,1,SOX09,Naïve,5,1,6.54
WID85,1985,1996,1,MOW71,Milk,11,1,6.68
WIS03,2003,2009,2,CRB95,Milk,6,1,7.62
WIS04,2004,2010,1,CRB95,Milk,6,1,7.56
WLK22,2022,2022,1,SLL07,True yeld,0,0,5.05
WOD90,1990,2001,2,CAP84,True yeld,11,1,9.40
WOD94,1994,2000,1,CAP84,True yeld,6,1,6.94
WSD00,2000,2010,1,MLR96,Summer yeld,10,1,5.74
WSD05,2005,2010,2,MLR96,Summer yeld,5,1,8.68
WSD06,2006,2012,2,MLR96,Milk,6,1,
WSD11,2011,2023,2,MLR96,True yeld,12,1,
WST19,2019,2023,1,LIA14,Naïve,4,1,4.82
XIN17,2017,2017,2,MCU12,Milk,0,0,7.74
YEW03,2003,2008,2,HOL94,True yeld,5,1,9.04
YOG06,2006,2022,1,YOS01,Naïve,16,1,6.05
YOS01,2001,2014,1,SEQ96,Summer yeld,13,1,6.32
YOS05,2005,2009,2,SEQ96,True yeld,4,1,8.03
YTA76,1976,1980,2,YTAGG,Milk,4,1,6.82
YUM19,2019,2022,1,NAV15,Summer yeld,3,1,6.18
YUM20,2020,2022,1,NAV15,Milk,2,1,
ZAN98,1998,2001,1,ALD91,True yeld,3,1,7.08
ZUC96,1996,2005,2,CUC91,Milk,9,1,5.62
